monthly_income,total_debt_balance,total_minimum_payments,monthly_expenses,savings,dti,savings_ratio,payment_history_score,is_default
7312.725454204101,955.0232625057384,10.505666747076736,3400.5459745153876,2897.294956793182,0.4664542184660989,0.8520087568249943,58,1
16621.02742559193,867.7005140926361,32.1639048658497,13883.67286570257,771.853345165305,0.8372428734922446,0.05559431946254683,41,1
17385.125310904914,2362.403304345988,26.439755029892677,7496.166747081344,542.2832254294201,0.43270361088887893,0.07234140368037381,94,0
7585.911340052871,3132.3527182882603,91.1850097990046,5959.9340101937605,471.8063878212737,0.7976785834638828,0.07916302197686663,30,0
2185.795476469477,1943.8356982924993,67.38939697539462,859.6464753642404,131.8341176724755,0.42411830296026204,0.15335852576261755,73,1
15875.288790726321,2948.3266000541475,99.55390586107936,11713.408349340132,1295.1527030108152,0.7441100696486699,0.11057009738570892,98,1
1957.0727443454919,3618.1675120840573,90.14657224127343,1011.7694551708827,17648.697732239547,0.5630429553349294,17.443398263910616,54,0
4861.9857316728185,380.8056237442456,13.880567856897123,3713.7840650154053,3766.1832540177606,0.76669592033599,1.014109376836115,40,0
1850.710836138359,1351.35570708634,34.06098681565795,1058.6920667275278,58.003004688593435,0.5904504508758316,0.05478741738380034,76,1
1698.4157111086352,4931.808131742734,133.78264474126112,1169.9048011268817,921.9837294814484,0.7675903076410322,0.7880843985874121,51,0
3862.682014259353,783.8761030756177,17.576036742242632,3452.1330337939826,549.518172109767,0.8982642238592036,0.15918221144392292,58,1
11449.459252086279,1546.2969539266462,29.6300229785011,3655.3560363626707,77.90107612420223,0.32184804321227894,0.021311487892326966,70,0
6369.4421840943005,746.1433348256803,13.758371048437064,5514.318001395091,397.27033738642604,0.8679058862594153,0.07204342160997691,70,1
8017.172086990366,7136.555234895768,239.05710061659255,3591.504728438033,1802.4374145846543,0.477794636651571,0.5018613494489068,98,0
10726.108570784196,4755.607023732371,112.60813139498121,6393.935227091693,8386.344798530827,0.60660800787931,1.311609280913735,36,0
4639.639288893071,4565.918264038257,170.6218918075549,2567.093767564887,416.6807612650823,0.590070797103906,0.16231614322260576,38,1
6562.431602745154,13980.827794801982,573.1703214522938,4806.5420673179415,1249.589782402259,0.8197742401341123,0.25997687366538824,98,0
3869.1654610397018,2232.649574704081,46.28086784836732,3375.032624084377,1873.6971757050783,0.8842510142150594,0.5551641654609953,63,0
16031.570859702688,1141.6812396320531,26.759096750955425,10824.197874958303,516.6493655349864,0.6768492657332771,0.047730960855117126,94,0
